,ActivePower
1160,84.96160126
1161,20.55237961
1162,5.918070793
1163,1.386602998
1164,0.0
1165,0.0
1166,7.471731186
1167,0.0
1168,0.0
1169,0.0
1170,0.0
1171,0.0
1172,0.0
1173,0.0
1174,0.0
1175,0.0
1176,0.0
1177,0.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,0.0
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,0.0
1188,0.0
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,30.56949043
1198,6.349184036
1199,1.076665998
1200,58.0236702
1201,2.406131029
1202,0.0
1203,0.0
1204,0.0
1205,0.0
1206,12.09146023
1207,142.9373016
1208,176.2416992
1209,167.9707031
1210,175.5373993
1211,211.0254059
1212,250.3184967
1213,261.0658875
1214,195.1080017
1215,260.9960022
1216,262.1498108
1217,328.7894897
1218,268.8442078
1219,235.5547028
1220,295.7919922
1221,362.5090942
1222,365.6787109
1223,363.0426941
1224,288.8091125
1225,261.4096985
1226,394.8363037
1227,553.2454834
1228,789.8884277
1229,965.0897217
1230,1017.671021
1231,1345.786987
1232,1263.744995
1233,1232.545044
1234,787.2312012
1235,554.7401123
1236,626.0037842
1237,754.9127808
1238,828.1480713
1239,1290.385986
1240,1324.373047
1241,1332.625
1242,1098.772949
1243,1039.676025
1244,804.2822876
1245,805.1437988
1246,929.2927856
1247,897.9151001
1248,943.267395
1249,625.8814697
1250,446.46521
1251,652.5297852
1252,700.5253296
1253,786.7703247
1254,831.6660156
1255,837.7006836
1256,817.4644165
1257,879.7988892
1258,951.2285156
1259,843.3892212
1260,871.3751831
1261,891.1118164
1262,883.1251221
1263,654.2595825
1264,515.0449219
1265,477.8468018
1266,504.7067871
1267,348.1600037
1268,296.0134888
1269,255.2416992
1270,258.3121948
1271,249.2194061
1272,425.2803955
1273,566.0112305
1274,513.1687012
1275,472.5159912
1276,492.1124878
1277,270.4773865
1278,355.2250061
1279,288.4397888
1280,429.365387
1281,281.8738098
1282,260.0133972
1283,194.195694
1284,130.5039978
1285,8.394179344
1286,0.0
1287,0.0
1288,0.0
1289,210.1694946
1290,10.63984013
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,0.0
1310,0.0
1311,0.0
1312,0.0
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.0
1328,0.0
1329,0.0
1330,0.0
1331,0.0
1332,0.0
1333,0.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.0
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,0.0
1360,189.759201
1361,178.2068024
1362,31.8864994
1363,0.0
1364,0.0
1365,0.0
1366,0.0
1367,22.00214958
1368,49.22541046
1369,0.0
1370,0.0
1371,49.84772873
1372,569.6486816
1373,812.0880127
1374,1248.901978
1375,1001.09198
1376,870.8120728
1377,1065.642944
1378,999.538208
1379,1090.782959
1380,1114.883057
1381,977.6099854
1382,713.2998047
1383,940.6273193
1384,1214.921021
1385,1114.912964
1386,1027.079956
1387,679.6071167
